model,source_revision,context_tokens,batch_size,active_weight_read_bytes_per_step,routed_expert_coverage,kv_read_bytes_per_user_token,kv_write_bytes_per_user_token,kv_read_bytes_per_step,kv_total_bytes_per_step,weight_to_kv_read_ratio,weight_to_kv_read_write_ratio
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,8192,1,11217572060.0,0.0234375,17956864.0,50912.0,17956864.0,18007776.0,624.6954958282248,622.9293423019034
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,8192,8,33202065409.85159,0.17281938744697234,17956864.0,50912.0,143654912.0,144062208.0,231.12377396361907,230.47033549459127
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,8192,32,86037911455.85335,0.5318323645307802,17956864.0,50912.0,574619648.0,576248832.0,149.73019414723066,149.306873485955
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,8192,64,122681219131.22423,0.7808190650991598,17956864.0,50912.0,1149239296.0,1152497664.0,106.74993411574418,106.44812823778898
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,32768,1,11217572060.0,0.0234375,65929216.0,50912.0,65929216.0,65980128.0,170.14569170669344,170.0144028214071
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,32768,8,33202065409.85159,0.17281938744697234,65929216.0,50912.0,527433728.0,527841024.0,62.950212789295854,62.90163875146542
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,32768,32,86037911455.85335,0.5318323645307802,65929216.0,50912.0,2109734912.0,2111364096.0,40.78138488701909,40.749916899152076
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,32768,64,122681219131.22423,0.7808190650991598,65929216.0,50912.0,4219469824.0,4222728192.0,29.07503175717088,29.05259669889362
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,200000,1,11217572060.0,0.0234375,317456384.0,50912.0,317456384.0,317507296.0,35.33578981357011,35.330123752494806
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,200000,8,33202065409.85159,0.17281938744697234,317456384.0,50912.0,2539651072.0,2540058368.0,13.073475240716686,13.071378921105008
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,200000,32,86037911455.85335,0.5318323645307802,317456384.0,50912.0,10158604288.0,10160233472.0,8.469461848955657,8.468103778614955
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,200000,64,122681219131.22423,0.7808190650991598,317456384.0,50912.0,20317208576.0,20320466944.0,6.038291070956628,6.037322836592009
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,1000000,1,11217572060.0,0.0234375,1520656384.0,50912.0,1520656384.0,1520707296.0,7.376796084920128,7.3765491159976655
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,1000000,8,33202065409.85159,0.17281938744697234,1520656384.0,50912.0,12165251072.0,12165658368.0,2.7292544324276804,2.7291630592870177
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,1000000,32,86037911455.85335,0.5318323645307802,1520656384.0,50912.0,48661004288.0,48662633472.0,1.7681080099917017,1.7680488152240819
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,1000000,64,122681219131.22423,0.7808190650991598,1520656384.0,50912.0,97322008576.0,97325266944.0,1.2605701518729024,1.2605279490454806
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,8192,1,39666603980.0,0.015624999999999998,41484288.0,72312.0,41484288.0,41556600.0,956.1837961398783,954.5199554342752
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,8192,8,124131495810.51216,0.11837356497016671,41484288.0,72312.0,331874304.0,332452800.0,374.0316569086113,373.3808101797072
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,8192,32,352239449751.31995,0.3958588540383072,41484288.0,72312.0,1327497216.0,1329811200.0,265.34100825663796,264.8792924524323
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,8192,64,548837516692.9358,0.6350134757560926,41484288.0,72312.0,2654994432.0,2659622400.0,206.71889555696657,206.35918718872867
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,32768,1,39666603980.0,0.015624999999999998,110493696.0,72312.0,110493696.0,110566008.0,358.99427221621767,358.759484017909
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,32768,8,124131495810.51216,0.11837356497016671,110493696.0,72312.0,883949568.0,884528064.0,140.4282555297455,140.33641312539763
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,32768,32,352239449751.31995,0.3958588540383072,110493696.0,72312.0,3535798272.0,3538112256.0,99.62091235258117,99.55575862636506
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,32768,64,548837516692.9358,0.6350134757560926,110493696.0,72312.0,7071596544.0,7076224512.0,77.61154263793586,77.56078340394745
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,200000,1,39666603980.0,0.015624999999999998,473068544.0,72312.0,473068544.0,473140856.0,83.84959110703416,83.83677604032572
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,200000,8,124131495810.51216,0.11837356497016671,473068544.0,72312.0,3784548352.0,3785126848.0,32.7995534116807,32.7945405253991
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,200000,32,352239449751.31995,0.3958588540383072,473068544.0,72312.0,15138193408.0,15140507392.0,23.26826195556293,23.264705774486632
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,200000,64,548837516692.9358,0.6350134757560926,473068544.0,72312.0,30276386816.0,30281014784.0,18.127576451853713,18.124805942201537
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,1000000,1,39666603980.0,0.015624999999999998,2207468544.0,72312.0,2207468544.0,2207540856.0,17.969272580492998,17.96868396441583
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,1000000,8,124131495810.51216,0.11837356497016671,2207468544.0,72312.0,17659748352.0,17660326848.0,7.029063684050404,7.028833434335324
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,1000000,32,352239449751.31995,0.3958588540383072,2207468544.0,72312.0,70638993408.0,70641307392.0,4.9864732318146,4.986309890850214
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,1000000,64,548837516692.9358,0.6350134757560926,2207468544.0,72312.0,141277986816.0,141282614784.0,3.884805616658029,3.8846783628121995
Kimi-K3,a590ce090cb049c93a33dfe8c208ec652aa20503,8192,1,136990303232.0,0.017857142857142856,562618368.0,449385984.0,562618368.0,1012004352.0,243.4870793838,135.36533016016122
Kimi-K3,a590ce090cb049c93a33dfe8c208ec652aa20503,8192,8,305333617736.73755,0.13424043195674498,562618368.0,449385984.0,4500946944.0,8096034816.0,67.83763984238104,37.71397044060557
Kimi-K3,a590ce090cb049c93a33dfe8c208ec652aa20503,8192,32,744983811166.6293,0.43819034357148334,562618368.0,449385984.0,18003787776.0,32384139264.0,41.37928198419068,23.004588915994272
Kimi-K3,a590ce090cb049c93a33dfe8c208ec652aa20503,8192,64,1101071738282.748,0.6843699099436721,562618368.0,449385984.0,36007575552.0,64768278528.0,30.578891286158537,17.000169887281213
Kimi-K3,a590ce090cb049c93a33dfe8c208ec652aa20503,32768,1,136990303232.0,0.017857142857142856,902356992.0,449385984.0,902356992.0,1351742976.0,151.8138657388494,101.3434548314605
Kimi-K3,a590ce090cb049c93a33dfe8c208ec652aa20503,32768,8,305333617736.73755,0.13424043195674498,902356992.0,449385984.0,7218855936.0,10813943808.0,42.29667698645393,28.235177023100132
Kimi-K3,a590ce090cb049c93a33dfe8c208ec652aa20503,32768,32,744983811166.6293,0.43819034357148334,902356992.0,449385984.0,28875423744.0,43255775232.0,25.799926531690424,17.22275943896391
Kimi-K3,a590ce090cb049c93a33dfe8c208ec652aa20503,32768,64,1101071738282.748,0.6843699099436721,902356992.0,449385984.0,57750847488.0,86511550464.0,19.065897492007174,12.727453529351973
Kimi-K3,a590ce090cb049c93a33dfe8c208ec652aa20503,200000,1,136990303232.0,0.017857142857142856,3214172160.0,449385984.0,3214172160.0,3663558144.0,42.62071115443922,37.39269252662365
Kimi-K3,a590ce090cb049c93a33dfe8c208ec652aa20503,200000,8,305333617736.73755,0.13424043195674498,3214172160.0,449385984.0,25713377280.0,29308465152.0,11.874504636706266,10.417932708287923
Kimi-K3,a590ce090cb049c93a33dfe8c208ec652aa20503,200000,32,744983811166.6293,0.43819034357148334,3214172160.0,449385984.0,102853509120.0,117233860608.0,7.243154050266295,6.354681209873863
Kimi-K3,a590ce090cb049c93a33dfe8c208ec652aa20503,200000,64,1101071738282.748,0.6843699099436721,3214172160.0,449385984.0,205707018240.0,234467721216.0,5.352621158496979,4.696048277231311
Kimi-K3,a590ce090cb049c93a33dfe8c208ec652aa20503,1000000,1,136990303232.0,0.017857142857142856,14273372160.0,449385984.0,14273372160.0,14722758144.0,9.597613072536882,9.3046630184459
Kimi-K3,a590ce090cb049c93a33dfe8c208ec652aa20503,1000000,8,305333617736.73755,0.13424043195674498,14273372160.0,449385984.0,114186977280.0,117782065152.0,2.6739793364353917,2.592360877207397
Kimi-K3,a590ce090cb049c93a33dfe8c208ec652aa20503,1000000,32,744983811166.6293,0.43819034357148334,14273372160.0,449385984.0,456747909120.0,471128260608.0,1.6310612403283098,1.5812759994597085
Kimi-K3,a590ce090cb049c93a33dfe8c208ec652aa20503,1000000,64,1101071738282.748,0.6843699099436721,14273372160.0,449385984.0,913495818240.0,942256521216.0,1.205338564553195,1.1685477505231738
